Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
260000,1.3262386,0.056725282,0.39801896,330.21666666666664,1203.9303749219803,-0.06921795669656533,-0.06921795669656533,1.2102616106589825,1.0
270000,1.3085178,0.05734123,0.36781117,502.96666666666664,1200.184868934394,0.09999998871769224,0.09999998871769224,1.499401732464321,1.0
280000,1.2889428,0.13735941,0.35760134,258.51785714285717,1202.5119308898327,0.6623611068353057,0.6623611068353057,0.5668196792054611,1.0
290000,1.2600484,0.10525414,0.34194514,302.5967741935484,1210.1337731434985,0.6761904717201278,0.6761904717201278,0.5150884044400993,1.0
300000,1.38454,0.052894138,0.31262678,279.3958333333333,1212.9624101382892,0.5113611076441076,0.5113611076441076,0.8259186984764205,1.0
310000,1.2825304,0.18665318,0.3249492,148.19718309859155,1217.4215838707937,0.7581041655503213,0.7581041655503213,0.22398183878976852,1.0
320000,1.3503265,0.20326765,0.3094368,190.04109589041096,1219.5855641572036,0.38783999651670453,0.38783999651670453,0.3308151339320466,1.0
330000,1.2967612,0.24595536,0.31494623,198.1,1219.745831031343,0.6783333281675975,0.6783333281675975,0.2324660069658421,1.0
340000,1.2662741,0.25061455,0.30182517,161.01980198019803,1223.9238039475563,0.8652415415946988,0.8652415415946988,0.1592796727022885,1.0
350000,1.249809,0.2620057,0.29099336,188.890243902439,1229.563805145831,0.824999996389334,0.824999996389334,0.16051822138251737,1.0
360000,1.266169,0.24375997,0.27834088,311.8095238095238,1232.4404396518378,0.40644827369472075,0.40644827369472075,0.5131737467640176,1.0
370000,1.3111831,0.19109824,0.26025626,219.92857142857142,1230.5320946240295,0.43567924215546194,0.43567924215546194,0.3753993760482496,1.0
380000,1.356526,0.14598265,0.2602908,329.73809523809524,1229.3122587262167,-0.09006000578403472,-0.09006000578403472,0.47679567405954004,1.0
390000,1.2527102,0.28934243,0.2819641,148.9375,1233.8560106318375,0.6648666641364495,0.6648666641364495,0.2546492830112887,1.0
400000,1.2264668,0.31776094,0.2832501,100.94791666666667,1240.4815502217375,0.9111111078943525,0.9111111078943525,0.1383337170210859,1.0
410000,1.1642373,0.24819478,0.26610774,148.825,1253.5604697029978,0.7281249959487468,0.7281249959487468,0.23781346867690445,1.0
420000,1.2441119,0.24585287,0.26047674,313.54347826086956,1255.5679293468356,0.4909090873869983,0.4909090873869983,0.5078219123057682,1.0
430000,1.1499518,0.24451216,0.25288332,230.1969696969697,1260.4696313726365,0.6714285681290286,0.6714285681290286,0.5218880871751546,1.0
440000,1.1305285,0.22415534,0.24270342,205.56164383561645,1264.106693247793,0.7481481441193156,0.7481481441193156,0.41172854084504285,1.0
450000,1.1421412,0.23819827,0.23708335,138.33802816901408,1267.4672160698153,0.8785714283585548,0.8785714283585548,0.2252876785184656,1.0
460000,1.1216656,0.21082042,0.22925842,173.2089552238806,1271.1387942619995,0.7633333300550779,0.7633333300550779,0.2848504536629965,1.0
470000,1.1537659,0.23561051,0.22366023,133.07766990291262,1272.5751444918558,0.7428571400897843,0.7428571400897843,0.19108878002235932,1.0
480000,1.1667553,0.20914678,0.21451119,166.31132075471697,1274.4311299249855,0.9078947333128828,0.9078947333128828,0.14321813172979378,1.0
490000,1.1535488,0.2062343,0.20534459,114.96842105263158,1280.508144598789,0.9030303004564662,0.9030303004564662,0.16463923982034126,1.0
500000,1.1274629,0.22634374,0.20181873,445.6470588235294,1285.8135699113968,0.5428571357790913,0.5428571357790913,0.7563821474489357,1.0
